nCells,dpi.g,abs.lfc,lbsz,prop_ix.DE1only,prop_ix.DE2only,prop_ix.DE1_DE2
250,0.3,2,5,0.24398354056115956,0.1761433461600006,0.6605780999073229
250,0.3,2,1000,0.651080152676078,0.6309482071851422,0.2122934444452736
250,0.3,2,2000,0.6372986852012934,0.6320873552159563,0.2263350403255412
500,0.3,2,5,0.24398354056115956,0.1761433461600006,0.6605780999073229
500,0.3,2,1000,0.651080152676078,0.6309482071851422,0.2122934444452736
500,0.3,2,2000,0.6372986852012934,0.6320873552159563,0.2263350403255412
1000,0.3,2,5,0.1206037970743853,0.7923068217185864,0.08708938120702826
1000,0.3,2,1000,0.6289201603586563,0.2406175714624496,0.1304622681788941
1000,0.3,2,2000,0.6205908542649641,0.24770398348204414,0.13170516225299173
2000,0.3,2,5,0.08193542568542568,0.816896645021645,0.1011679292929293
2000,0.3,2,1000,0.6198751196171508,0.25166806741670744,0.12845681296614178
2000,0.3,2,2000,0.6285241463575547,0.2477464220311716,0.12372943161127373
